Smiles,MP
c1ccc(-c2ccccc2)cc1,68.5
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,203.3
c1ccc(-c2cc(-c3ccccc3)cc(-c3c4ccccc4c(-c4cc(-c5ccccc5)cc(-c5ccccc5)c4)c4ccccc34)c2)cc1,231.0
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)c2)cc1,172.0
c1ccc(-c2ccccc2-c2ccccc2)cc1,59.0
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,85.0
c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,431.7
c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1,309.5
c1ccc(-c2ccc(-c3ccccc3)c(-c3ccccc3)c2)cc1,110.3
c1ccc(-c2cccc(-c3ccccc3)c2-c2ccccc2)cc1,157.3
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccccc6)cc5)cc4)cc3)cc2)cc1,455.4
c1ccc(-c2ccc(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,190.7
c1ccc(-c2cc(-c3ccccc3)c(-c3ccccc3)cc2-c2ccccc2)cc1,264.5
c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2)cc1,119.4
c1ccc(-c2cc(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,240.4
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1,391.4
c1ccc(-c2cccc(-c3cccc(-c4ccccc4)c3)c2)cc1,97.0
c1ccc(-c2ccc(-c3c4ccccc4c(-c4ccc(-c5ccccc5)cc4)c4ccccc34)cc2)cc1,415.0
c1ccc(-c2ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)cc(-c4ccc(-c5ccccc5)cc4)c3)cc2)cc1,235.2
c1ccc(-c2ccc(-c3ccccc3-c3ccccc3)cc2)cc1,126.8
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5ccccc5)c4)c3)c2)cc1,107.5
c1ccc(-c2ccc(-c3cccc(-c4ccccc4)c3)cc2)cc1,156.7
c1ccc(-c2ccc(-c3c4ccccc4c(-c4ccccc4)c4ccccc34)cc2)cc1,273.5
c1ccc(-c2cccc(-c3c4ccccc4c(-c4cccc(-c5ccccc5)c4)c4ccccc34)c2)cc1,267.0
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccc(-c4c5ccccc5c(-c5ccc(-c6cc(-c7ccccc7)cc(-c7ccccc7)c6)cc5)c5ccccc45)cc3)c2)cc1,340.0
c1ccc(-c2cc(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2)cc1,221.9
c1ccc(-c2cc(-c3ccccc3)cc(-c3c4ccccc4c(-c4c5ccccc5c(-c5cc(-c6ccccc6)cc(-c6ccccc6)c5)c5ccccc45)c4ccccc34)c2)cc1,427.0
c1ccc(-c2cccc(-c3ccccc3-c3ccccc3)c2)cc1,88.6
c1ccc(-c2ccc(-c3c4ccccc4cc4ccccc34)cc2)cc1,212.7
c1ccc(-c2cc(-c3cccc(-c4c5ccccc5c(-c5ccccc5)c5ccccc45)c3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,260.0
c1ccc(-c2ccc(-c3cccc4ccccc34)cc2)cc1,145.6
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6ccccc6)c5)c4)c3)c2)cc1,146.0
c1ccc(-c2ccc(-c3cccc(-c4ccc(-c5ccccc5)cc4)c3)cc2)cc1,266.6
c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2)cc1,215.9
c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccc(-c4ccc(-c5c(-c6ccccc6)c(-c6ccccc6)c(-c6ccccc6)c(-c6ccccc6)c5-c5ccccc5)cc4)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,441.0
c1ccc(-c2ccccc2-c2c3ccccc3c(-c3cccc4ccccc34)c3ccccc23)cc1,264.0
c1ccc(-c2ccccc2-c2ccc(-c3ccc(-c4ccccc4-c4ccccc4)cc3)cc2)cc1,193.8
c1ccc(-c2cccc(-c3ccc(-c4cccc(-c5ccccc5)c4)cc3)c2)cc1,243.1
c1ccc(-c2ccccc2-c2cccc3ccccc23)cc1,113.3
c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2)cc1,163.0
c1ccc(-c2ccccc2-c2c3ccccc3cc3ccccc23)cc1,119.8
c1ccc(-c2ccc(-c3ccccc3-c3ccc(-c4ccccc4)cc3)cc2)cc1,181.8
c1ccc(-c2cccc(-c3ccc(-c4ccc(-c5cccc(-c6ccccc6)c5)cc4)cc3)c2)cc1,284.0
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7cccc(-c8ccccc8)c7)c6)c5)c4)c3)c2)cc1,128.7
c1ccc(-c2ccccc2-c2cccc(-c3ccccc3-c3ccccc3)c2)cc1,158.7
c1ccc(-c2ccc(-c3ccccc3-c3ccccc3-c3ccc(-c4ccccc4)cc3)cc2)cc1,191.5
c1ccc(-c2ccccc2-c2ccc3ccccc3c2)cc1,116.0
c1ccc(-c2cccc(-c3ccc(-c4ccccc4-c4ccccc4)cc3)c2)cc1,109.5
c1ccc(-c2cccc(-c3ccc4ccccc4c3)c2)cc1,67.0
c1ccc(-c2ccccc2-c2cc(-c3ccccc3-c3ccccc3)cc(-c3ccccc3-c3ccccc3)c2)cc1,214.2
c1ccc2c(-c3ccc(-c4ccc(-c5cccc6ccccc56)cc4)cc3)cccc2c1,174.5
c1ccc(-c2cc(-c3ccccc3)cc(-c3cc(-c4ccccc4)cc(-c4ccccc4)c3)c2)cc1,231.5
c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3-c3ccccc3)c(-c3ccccc3)c2)cc1,229.6
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccc(-c4cc(-c5ccc(-c6cc(-c7ccccc7)cc(-c7ccccc7)c6)cc5)cc(-c5ccc(-c6cc(-c7ccccc7)cc(-c7ccccc7)c6)cc5)c4)cc3)c2)cc1,245.7
c1ccc(-c2ccccc2-c2cccc(-c3cccc(-c4ccccc4-c4ccccc4)c3)c2)cc1,151.8
c1ccc(-c2ccc(-c3ccc(-c4cccc(-c5ccc(-c6ccccc6)cc5)c4)cc3)cc2)cc1,299.8
c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3cc(-c4c(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c4-c4ccccc4)cc(-c4c(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c4-c4ccccc4)c3)c(-c3ccccc3)c2-c2ccccc2)cc1,300.2
c1ccc(-c2ccc(-c3cccc(-c4cccc(-c5ccccc5)c4)c3)cc2)cc1,155.2
c1ccc(-c2cccc(-c3cccc(-c4ccccc4-c4ccccc4)c3)c2)cc1,113.5
c1ccc(-c2ccc(-c3ccc(-c4cccc(-c5ccccc5)c4)cc3)cc2)cc1,190.0
c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3c(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c3-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,321.3
c1ccc(-c2ccc(-c3cc(-c4ccccc4)cc(-c4ccccc4)c3)cc2)cc1,128.2
c1ccc(-c2cccc(-c3ccc(-c4cccc(-c5cccc(-c6ccccc6)c5)c4)cc3)c2)cc1,190.3
c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2-c2ccccc2)cc1,305.6
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccccc7)cc6)cc5)cc4)cc3)cc2)cc1,506.5
c1ccc(-c2cc(-c3ccccc3)c(-c3c(-c4ccccc4)cc(-c4ccccc4)cc3-c3ccccc3)c(-c3ccccc3)c2)cc1,354.6
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccccc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,491.0
c1ccc(-c2ccc(-c3cccc4cccc(-c5ccc(-c6ccccc6)cc5)c34)cc2)cc1,203.1
c1ccc(-c2ccccc2-c2cc3ccccc3c3ccccc23)cc1,75.8
c1ccc(-c2ccc(-c3cccc(-c4cccc(-c5ccc(-c6ccccc6)cc5)c4)c3)cc2)cc1,254.2
c1ccc(-c2ccc(-c3cc4ccccc4c4ccccc34)cc2)cc1,211.8
c1ccc(-c2ccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)cc2)cc1,105.5
c1ccc(-c2cccc(-c3cccc(-c4ccccc4-c4cccc(-c5ccccc5)c4)c3)c2)cc1,59.0
c1ccc(-c2cccc(-c3ccc(-c4ccccc4-c4cccc(-c5ccccc5)c4)cc3)c2)cc1,129.0
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7cccc(-c8cccc(-c9ccccc9)c8)c7)c6)c5)c4)c3)c2)cc1,187.0
c1ccc(-c2cc(-c3ccc(-c4cc(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c4-c4ccccc4)cc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,408.5
c1ccc(-c2cc(-c3ccccc3-c3ccccc3-c3cc(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c3-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,237.5
c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccc(-c4c(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c4-c4ccccc4)cc3)c(-c3ccccc3)c2-c2ccccc2)cc1,465.8
c1ccc(-c2cc(-c3ccccc3)cc(-c3cc(-c4cc(-c5ccccc5)cc(-c5ccccc5)c4)cc(-c4cc(-c5ccccc5)cc(-c5ccccc5)c4)c3)c2)cc1,273.0
c1ccc(-c2ccc(-c3c4ccccc4c(-c4ccccc4)c4c(-c5ccc(-c6ccccc6)cc5)c5ccccc5c(-c5ccccc5)c34)cc2)cc1,317.0
c1ccc(-c2ccccc2-c2ccc(-c3ccccc3-c3ccccc3-c3ccccc3)cc2)cc1,154.9
c1ccc(-c2ccc(-c3c(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,286.5
c1ccc(-c2ccc(-c3ccc(-c4cc(-c5ccc(-c6ccc(-c7ccccc7)cc6)cc5)cc(-c5ccc(-c6ccc(-c7ccccc7)cc6)cc5)c4)cc3)cc2)cc1,281.7
c1ccc(-c2ccc(-c3ccc4c(ccc5ccccc54)c3)cc2)cc1,298.7
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7cccc(-c8cccc(-c9cccc(-c%10ccccc%10)c9)c8)c7)c6)c5)c4)c3)c2)cc1,184.0
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7cccc(-c8cccc(-c9cccc(-c%10cccc(-c%11ccccc%11)c%10)c9)c8)c7)c6)c5)c4)c3)c2)cc1,202.0
c1ccc(-c2ccc(-c3cccc(-c4ccccc4-c4ccccc4)c3)cc2)cc1,145.0
c1ccc(-c2cccc(-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)cc1,127.5
c1ccc(-c2ccc(-c3ccc(-c4ccccc4-c4ccccc4)cc3)cc2)cc1,186.9
c1ccc(-c2ccc(-c3ccccc3)c(-c3cc(-c4ccccc4)ccc3-c3ccccc3)c2)cc1,194.5
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7ccccc7)c6)c5)c4)c3)c2)cc1,97.8
c1ccc(-c2cccc(-c3ccccc3)c2-c2c(-c3ccccc3)cccc2-c2ccccc2)cc1,396.0
c1ccc(-c2cccc(-c3ccccc3-c3ccccc3-c3cccc(-c4ccccc4)c3)c2)cc1,153.5
c1ccc2c(-c3ccc(-c4ccc(-c5ccc(-c6cccc7ccccc67)cc5)cc4)cc3)cccc2c1,233.7
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)c(-c4ccc(-c5ccccc5)cc4)c3)cc2)cc1,171.0
c1ccc(-c2ccc(-c3cccc4ccc(-c5ccccc5)cc34)cc2)cc1,85.5
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccc(-c4c5ccccc5c(-c5c6ccccc6c(-c6cc(-c7ccccc7)cc(-c7ccccc7)c6)c6ccccc56)c5ccccc45)cc3)c2)cc1,418.0
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccc(-c4c5ccccc5c(-c5c6ccccc6c(-c6ccc(-c7cc(-c8ccccc8)cc(-c8ccccc8)c7)cc6)c6ccccc56)c5ccccc45)cc3)c2)cc1,425.0
c1ccc(-c2ccc(-c3cc(-c4ccccc4)c(-c4ccc(-c5ccccc5)cc4)c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,277.5
c1ccc(-c2cc(-c3ccccc3)cc(-c3cccc4ccccc34)c2)cc1,173.3
c1ccc(-c2ccc(-c3cc(-c4ccccc4)ccc3-c3ccccc3)cc2)cc1,119.7
c1ccc(-c2ccc(-c3cccc(-c4ccc(-c5ccccc5)cc4-c4ccccc4)c3)c(-c3ccccc3)c2)cc1,266.5
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7cccc(-c8cccc(-c9cccc(-c%10cccc(-c%11cccc(-c%12ccccc%12)c%11)c%10)c9)c8)c7)c6)c5)c4)c3)c2)cc1,250.0
c1ccc(-c2cc(-c3c4ccccc4c(-c4cc(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c4-c4ccccc4)c4ccccc34)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,400.0
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7cccc(-c8cccc(-c9cccc(-c%10cccc(-c%11cccc(-c%12cccc(-c%13ccccc%13)c%12)c%11)c%10)c9)c8)c7)c6)c5)c4)c3)c2)cc1,245.0
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7cccc(-c8cccc(-c9cccc(-c%10cccc(-c%11cccc(-c%12cccc(-c%13cccc(-c%14ccccc%14)c%13)c%12)c%11)c%10)c9)c8)c7)c6)c5)c4)c3)c2)cc1,270.5
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7cccc(-c8cccc(-c9cccc(-c%10cccc(-c%11cccc(-c%12cccc(-c%13cccc(-c%14cccc(-c%15ccccc%15)c%14)c%13)c%12)c%11)c%10)c9)c8)c7)c6)c5)c4)c3)c2)cc1,292.0
c1ccc(-c2cccc(-c3ccc(-c4ccccc4)cc3-c3ccccc3)c2)cc1,104.5
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3-c3ccccc3)c2)cc1,119.3
c1ccc2cc(-c3ccc(-c4ccc(-c5ccc6ccccc6c5)cc4)cc3)ccc2c1,335.5
c1ccc(-c2cccc(-c3cccc(-c4ccc(-c5ccccc5)cc4-c4ccccc4)c3)c2)cc1,145.5
c1ccc(-c2ccc(-c3cccc(-c4ccc(-c5ccccc5)cc4-c4ccccc4)c3)cc2)cc1,183.0
c1ccc(-c2ccc(-c3cc(-c4ccccc4)cc(-c4ccc(-c5ccccc5)cc4)c3)cc2)cc1,203.5
c1ccc(-c2ccc(-c3cccc(-c4ccc(-c5cccc(-c6ccccc6)c5)cc4)c3)cc2)cc1,270.0
c1ccc(-c2ccc(-c3c(-c4ccccc4)c(-c4ccccc4)c(-c4ccc(-c5ccccc5)cc4)c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,305.0
c1ccc(-c2cc(-c3cc(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c3-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,318.5
c1ccc(-c2ccccc2-c2c(-c3ccccc3)cccc2-c2ccccc2)cc1,188.8
c1ccc(-c2ccc(-c3cccc(-c4ccccc4-c4ccc(-c5ccccc5)cc4)c3)cc2)cc1,204.5
c1ccc(-c2cc(-c3ccccc3)c(-c3ccccc3-c3ccccc3)c(-c3ccccc3)c2)cc1,211.5
c1ccc(-c2ccccc2-c2ccccc2-c2cccc(-c3ccccc3)c2-c2ccccc2)cc1,194.5
c1ccc(-c2ccccc2-c2cccc(-c3ccccc3-c3ccccc3-c3ccccc3)c2)cc1,182.4
c1ccc(-c2cccc(-c3cccc(-c4ccc(-c5ccccc5-c5ccccc5)cc4)c3)c2)cc1,170.0
c1ccc(-c2ccccc2-c2ccc(-c3cccc(-c4ccccc4-c4ccccc4)c3)cc2)cc1,136.7
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5-c5ccccc5)cc4)cc3)cc2)cc1,276.3
c1ccc(-c2ccc(-c3cc(-c4ccc(-c5ccccc5)cc4)c(-c4ccc(-c5ccccc5)cc4)cc3-c3ccc(-c4ccccc4)cc3)cc2)cc1,380.5
c1ccc(-c2cccc(-c3ccccc3)c2-c2cccc3ccccc23)cc1,146.0
c1ccc(-c2cc(-c3ccccc3)c(-c3cccc4ccccc34)c(-c3ccccc3)c2)cc1,233.0
c1cc(-c2ccc(-c3cccc4ccccc34)cc2)cc(-c2ccc(-c3cccc4ccccc34)cc2)c1,164.0
c1ccc2c(-c3ccc(-c4cc(-c5ccc(-c6c7ccccc7cc7ccccc67)cc5)c(-c5ccc(-c6c7ccccc7cc7ccccc67)cc5)cc4-c4ccc(-c5c6ccccc6cc6ccccc56)cc4)cc3)c3ccccc3cc2c1,352.0
c1ccc(-c2ccc(-c3c(-c4ccccc4)c4ccccc4c4ccccc34)cc2)cc1,235.0
c1ccc(-c2ccc(-c3c4ccc(-c5ccccc5)cc4c(-c4ccc(-c5ccccc5)cc4)c4ccc(-c5ccccc5)cc34)cc2)cc1,396.0
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3-c3ccc4ccc5c(-c6ccccc6-c6cc(-c7ccccc7)cc(-c7ccccc7)c6)ccc6ccc3c4c65)c2)cc1,312.0
c1ccc(-c2ccccc2-c2ccc3ccccc3c2)c(-c2ccc3ccccc3c2)c1,153.5
c1ccc(-c2ccc(-c3ccccc3)c(-c3ccc4ccccc4c3)c2-c2ccccc2)cc1,95.5
c1ccc(-c2ccccc2-c2ccc(-c3cc(-c4ccc(-c5ccccc5-c5ccccc5)cc4)cc(-c4ccc(-c5ccccc5-c5ccccc5)cc4)c3)cc2)cc1,278.0
c1ccc(-c2cc(-c3ccccc3)c(-c3ccccc3)c(-c3ccc(-c4c(-c5ccccc5)c(-c5ccccc5)cc(-c5ccccc5)c4-c4ccccc4)cc3)c2-c2ccccc2)cc1,390.0
c1ccc(-c2ccc(-c3cc(-c4ccccc4)c(-c4ccccc4)c(-c4ccc(-c5ccccc5)cc4)c3-c3ccccc3)cc2)cc1,200.0
c1ccc(-c2ccc(-c3ccccc3)c(-c3cccc4ccccc34)c2-c2ccccc2)cc1,177.5
c1ccc(-c2ccc(-c3cc(-c4ccccc4)cc(-c4ccccc4-c4ccccc4)c3)cc2)cc1,115.0
c1ccc(-c2cccc(-c3ccc(-c4cc(-c5ccccc5)cc(-c5ccccc5)c4)cc3)c2)cc1,155.0
c1ccc(-c2ccc(-c3cccc(-c4ccccc4-c4ccccc4)c3)c(-c3ccccc3)c2)cc1,173.0
c1ccc(-c2cccc(-c3ccc(-c4cccc(-c5ccccc5-c5ccccc5)c4)cc3)c2)cc1,165.5
c1ccc(-c2ccc(-c3ccc(-c4ccccc4-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1,231.5
c1ccc(-c2ccccc2-c2ccccc2-c2cccc3c4ccccc4c4ccccc4c23)cc1,191.5
c1ccc(-c2ccc(-c3cc(-c4ccccc4)cc(-c4ccc(-c5ccccc5)cc4)c3-c3ccccc3)cc2)cc1,231.5
c1ccc(-c2ccc(-c3c(-c4ccccc4)ccc(-c4ccccc4)c3-c3ccc(-c4ccccc4)cc3)cc2)cc1,213.5
c1ccc(-c2ccc(-c3cc(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,212.5
c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4c5ccccc5c5ccccc5c4c3-c3ccccc3)cc2)cc1,250.0
c1ccc(-c2cccc(-c3cccc(-c4ccc(-c5cccc(-c6ccc(-c7cccc(-c8cccc(-c9ccccc9)c8)c7)cc6)c5)cc4)c3)c2)cc1,249.5
c1ccc(-c2cc(-c3ccc(-c4cc(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c4-c4ccccc4)c4ccccc34)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,367.0
c1ccc(-c2cc(-c3c(-c4cc(-c5ccccc5)c(-c5ccccc5)c(-c5ccccc5)c4-c4ccccc4)c4ccccc4c4ccccc34)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,295.5
c1ccc(-c2ccc(-c3cc(-c4ccccc4)cc(-c4ccccc4)c3-c3ccccc3)cc2)cc1,189.2
c1ccc(-c2cccc(-c3ccc(-c4cccc(-c5ccc(-c6cccc(-c7ccccc7)c6)cc5)c4)cc3)c2)cc1,305.5
c1ccc(-c2ccc(-c3c(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c3-c3ccc(-c4ccccc4)cc3)cc2)cc1,307.0
c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6cccc(-c7cccc(-c8cccc(-c9cccc(-c%10cccc(-c%11cccc(-c%12cccc(-c%13cccc(-c%14cccc(-c%15cccc(-c%16ccccc%16)c%15)c%14)c%13)c%12)c%11)c%10)c9)c8)c7)c6)c5)c4)c3)c2)cc1,321.0
c1ccc(-c2ccc(-c3ccc4cc5ccccc5cc4c3)cc2)cc1,297.0
c1ccc(-c2ccc(-c3c4ccc(-c5ccccc5)cc4c(-c4ccccc4)c4c(-c5ccc(-c6ccccc6)cc5)c5ccc(-c6ccccc6)cc5c(-c5ccccc5)c34)cc2)cc1,320.0
c1ccc(-c2cc(-c3ccccc3)cc(-c3cc(-c4cc(-c5ccccc5)cc(-c5ccccc5)c4)cc(-c4cc(-c5cc(-c6cc(-c7ccccc7)cc(-c7ccccc7)c6)cc(-c6cc(-c7ccccc7)cc(-c7ccccc7)c6)c5)cc(-c5cc(-c6cc(-c7ccccc7)cc(-c7ccccc7)c6)cc(-c6cc(-c7ccccc7)cc(-c7ccccc7)c6)c5)c4)c3)c2)cc1,344.5
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4-c4ccccc4)cc3)c(-c3ccccc3)c2)cc1,255.0
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)c(-c5ccccc5)c4)cc3)cc2-c2ccccc2)cc1,288.0
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccccc6)c(-c6ccccc6)c5)cc4)cc3)cc2-c2ccccc2)cc1,341.0
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccccc7)c(-c7ccccc7)c6)cc5)cc4)cc3)cc2-c2ccccc2)cc1,375.0
c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccccc9)cc8)cc7)cc6-c6ccccc6)cc5)c(-c5ccccc5)c4)cc3)cc2)cc1,416.0
c1ccc(-c2cccc(-c3c(-c4ccccc4)cccc3-c3ccccc3)c2)cc1,148.4
c1ccc(-c2ccc(-c3c(-c4ccccc4)cccc3-c3ccccc3)cc2)cc1,175.3
