smiles;molecular_formula;bp;source;unit
FC(F)(F)F;CF4;145.21;1;K
C(C(F)(F)F)(F)(F)F;C2F6;194.45;1;K
C(C(F)(F)F)(C(F)(F)F)(F)F;C3F8;235.65;1;K
C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F;C4F10;271.85;1;K
C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F;C5F12;302.45;1;K
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F;C6F14;330.35;1;K
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F;C7F16;355.55;1;K
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F;C8F18;376.55;1;K
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F;C9F20;398.45;1;K
C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F;C10F22;417.35;1;K
C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;C11F24;433.95;1;K
C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;C12F26;451.15;1;K
C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;C13F28;467.65;1;K
C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;C16F34;512.15;1;K
C(C(C(F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F;C512;303.28;2;K
C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F;C6F14;330.66;2;K
C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(C(F)(F)F)F;C6F14;331.33;2;K
C(C(C(F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F;C5F12;303.2;3;K
C(C(C(F)(F)F)(C(F)(F)F)F)(C(F)(F)F)(C(F)(F)F)F;C6F14;330.7;3;K
C(C(F)(F)F)(F)(F)F;C2F6;-78.8;4;C
C(C(F)(F)F)(C(F)(F)F)(F)F;C3F8;-37.5;4;C
C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F;C4F10;-1.3;4;C
C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)F;C4F10;-0.3;4;C
C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F;C5F12;29.3;4;C
C(C(C(F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F;C5F12;30.0;4;C
C(C(F)(F)F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F;C5F12;30.1;4;C
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F;C6F14;57.2;4;C
C(C(C(F)(F)F)(C(F)(F)F)F)(C(F)(F)F)(C(F)(F)F)F;C6F14;58.2;4;C
C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F;C6F14;57.7;4;C
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F;C7F16;82.3;4;C
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(C(F)(F)F)F;C7F16;81.5;4;C
C(C(C(F)(F)F)(C(F)(F)F)F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F;C7F14;82.2;4;C
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F;C8F18;103.5;4;C
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)F;C8F18;103;4;C
C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F;C8F18;104;4;C
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F;C9F20;125.3;4;C
C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F;C10F22;144.2;4;C
C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F;C10F22;144.1;4;C
C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;C11F24;160.8;4;C
C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;C12F26;178;4;C
C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;C13F28;194.5;4;C
C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;C16F34;239;4;C